Word,Score
loves,9166.35
nenes,9161.81
sorus,9159.5
pules,9155.14
baals,9152.9
ooses,9149.92
paris,9147.4
vapes,9146.57
somas,9143.59
sangs,9143.1
claes,9142.46
pries,9141.31
blaes,9140.98
cepes,9138.95
aunes,9137.18
jades,9133.68
paans,9131.66
tarts,9128.06
toras,9126.74
carns,9124.3
goxes,9124.02
pedes,9123.74
barns,9122.82
riles,9121.48
souts,9119.25
seans,9119.12
senas,9116.54
eaves,9116.25
hokes,9114.08
howes,9113.58
tules,9110.72
paals,9109.95
naves,9107.87
dunes,9105.5
solos,9104.62
japes,9104.46
vires,9103.89
carls,9102.59
files,9099.73
bises,9099.2
rohes,9097.43
seals,9097.41
tries,9096.89
fetes,9091.08
waxes,9088.73
yages,9088.59
meses,9087.73
hoves,9086.08
foxes,9084.96
tanas,9084.66
sties,9080.17
hajes,9079.61
coats,9078.83
boats,9077.35
spies,9071.61
memes,9068.29
nodes,9067.74
taals,9065.53
demes,9063.81
baits,9061.84
pises,9056.25
loxes,9055.93
oaves,9049.49
wines,9045.04
runes,9042.23
synes,9040.78
balas,9040.62
tarns,9035.45
carrs,9034.29
sears,9029.11
borts,9025.56
sooks,9024.86
sodas,9022.47
reses,9019.98
snees,9017.3
swies,9015.92
socas,9015.15
jakes,9011.94
salps,9008.24
nazes,9008.19
kines,9005.29
souls,9004.93
pekes,9002.0
sorbs,9001.79
crees,8999.28
sadis,8998.71
brees,8997.8
palas,8997.67
marts,8995.91
moras,8994.59
times,8992.39
lunes,8991.45
darts,8991.43
parrs,8989.86
cants,8984.96
bants,8983.48
cutes,8982.87
ports,8982.61
hetes,8981.78
butes,8981.39
femes,8978.79
voces,8978.6
mules,8978.57
serrs,8977.32
hoxes,8975.66
taits,8974.47
aedes,8974.37
dules,8974.09
mites,8972.53
sobas,8971.5
cains,8970.71
leses,8969.2
dites,8968.05
daris,8966.35
coals,8964.51
raias,8963.12
dries,8960.26
cides,8960.12
bides,8958.64
prees,8954.85
nines,8953.76
talas,8953.25
songs,8953.23
manas,8952.51
soops,8952.2
bices,8951.32
lemes,8949.76
taros,8948.65
veles,8948.58
bails,8947.52
goras,8944.15
pants,8940.53
skies,8939.82
torts,8938.19
clies,8937.08
sours,8936.63
corns,8934.43
suras,8929.78
daals,8928.9
gules,8928.13
sents,8927.99
siris,8926.81
pains,8926.28
sooms,8923.41
gites,8922.09
garis,8920.39
bezes,8917.27
vaxes,8915.63
wiles,8913.63
rules,8910.82
trees,8910.43
bibes,8907.67
farts,8906.41
rites,8904.78
pails,8904.57
darns,8898.82
boars,8894.73
jobes,8892.84
plies,8892.65
canns,8892.35
seils,8892.03
debes,8891.72
banns,8890.87
porns,8890.0
sials,8889.36
buses,8888.54
pipes,8886.47
ranas,8884.76
noyes,8882.5
tains,8881.86
marls,8881.59
mises,8879.68
redes,8879.42
saree,8879.22
sakis,8876.97
fries,8875.24
coits,8873.45
vines,8871.94
tides,8871.27
hemes,8869.49
karas,8869.11
ketes,8865.23
maars,8865.08
tices,8863.95
smees,8860.66
solds,8860.64
mimes,8860.24
tails,8860.15
moats,8857.83
dimes,8855.76
lites,8854.0
doats,8853.35
laris,8852.3
colas,8852.23
jures,8851.12
bolas,8850.75
feces,8850.35
reges,8848.46
puses,8845.59
sados,8844.38
tiges,8840.31
soyas,8837.23
bikes,8836.9
pairs,8836.27
lanas,8833.98
pauas,8832.89
swees,8829.46
ledes,8828.64
carks,8823.91
seirs,8823.73
barks,8822.43
jokes,8822.07
malas,8821.1
dekes,8820.95
texes,8819.16
naras,8817.58
netes,8813.7
sagos,8813.42
rises,8811.93
crues,8811.19
cives,8810.38
sofas,8808.23
yokes,8807.94
noxes,8807.58
yowes,8807.44
goats,8807.39
morts,8806.04
dorts,8801.56
froes,8799.3
leges,8797.68
coots,8797.51
meves,8797.43
harts,8797.11
solus,8796.14
boots,8796.03
horas,8795.79
pikes,8793.95
cards,8793.52
rimes,8792.49
farls,8792.09
bards,8792.04
gaits,8791.88
toeas,8786.69
larns,8784.77
toits,8784.6
palis,8784.04
arles,8782.17
coins,8780.84
hules,8779.77
parks,8779.48
zaxes,8776.89
doris,8776.48
raits,8774.57
drees,8773.8
galas,8770.66
serks,8766.94
aides,8766.32
moans,8765.22
tolas,8763.38
monas,8762.64
mutes,8761.87
baels,8761.06
oozes,8759.94
dants,8759.48
coils,8759.13
toros,8758.78
donas,8758.16
rekes,8757.68
boils,8757.65
torrs,8755.57
skees,8753.36
poots,8753.08
carps,8751.25
ponts,8750.66
barps,8749.77
mains,8749.71
tikes,8749.53
blees,8749.14
pards,8749.09
limes,8741.71
calls,8739.23
manis,8738.88
rorts,8738.29
balls,8737.75
varas,8735.76
zines,8733.2
casas,8732.55
goris,8730.52
mails,8728.0
grees,8727.84
dices,8727.32
faros,8727.0
souks,8726.25
trues,8722.34
barms,8720.98
warts,8720.31
seams,8717.28
forts,8716.54
gants,8713.52
morns,8713.43
camas,8713.11
bizes,8709.22
toots,8708.66
parps,8706.82
seels,8705.57
coons,8704.9
harns,8704.5
boons,8703.42
conns,8702.48
gains,8699.27
cubes,8698.49
mezes,8697.75
puces,8697.71
roans,8697.47
hebes,8697.4
spues,8697.06
wites,8696.93
rants,8696.21
