Word,Score
pipis,254.82
cedar,254.73
mouth,253.83
cajun,253.63
chili,253.14
tiger,252.85
gourd,252.77
olive,252.5
wilts,252.41
rests,252.12
proof,252.07
agave,251.7
tabil,251.19
hound,250.97
horno,250.72
drunk,250.08
pista,249.76
first,249.64
bamba,249.34
blood,249.2
bobby,249.09
lotus,248.53
split,248.44
flips,248.36
third,248.19
picks,247.94
sumac,247.1
lardo,246.34
dusts,246.13
fiber,245.84
trout,245.82
holds,245.25
field,244.91
local,244.77
float,244.75
scoop,244.51
strip,244.5
sumaq,244.04
coppa,243.93
ackee,243.75
dilly,243.54
major,243.32
pinch,242.67
niter,242.58
pecan,242.26
dream,242.1
guava,242.07
ghost,241.47
copha,241.11
whips,240.52
cuban,239.69
fruit,239.54
cloud,239.25
squid,239.09
liver,239.06
shoyu,238.93
kitty,238.77
river,238.04
mixer,237.95
razor,237.47
amuse,237.45
bison,237.39
quark,237.22
pluck,236.42
whisk,236.22
pinto,235.76
fully,235.59
grown,235.53
wagon,235.51
pisco,235.21
bisto,234.99
halva,234.14
mixed,233.99
pitia,233.68
quail,233.65
mango,233.38
wheat,233.34
sprig,233.3
blitz,233.15
toddy,232.92
mirin,232.48
aroma,232.39
pimms,231.72
pesto,231.61
bayou,230.4
punch,230.28
liken,229.88
obese,229.6
kasha,229.49
droop,229.19
whirl,229.03
blush,228.81
derby,228.69
plush,228.25
royal,227.93
kashk,227.86
milky,227.7
korma,227.37
melds,227.32
matzo,225.87
sushi,224.38
squab,224.11
doggy,223.97
pilaf,222.92
flesh,222.51
jelly,222.09
opens,222.07
quick,222.05
knife,221.76
jerky,221.51
alarm,221.29
lauki,221.03
crumb,220.23
fudge,219.13
cumin,218.94
twist,218.6
zesty,216.7
lobby,216.05
tucks,215.95
wedge,215.8
nutty,215.31
yield,215.19
jeera,214.79
thyme,213.91
dough,213.32
puppy,212.14
thigh,212.01
melon,211.71
tonic,210.73
robin,210.73
magic,209.85
medal,209.64
ovens,209.48
meson,209.36
apple,209.06
aioli,208.52
dietz,207.54
dashi,206.6
divan,206.28
jewel,205.75
mocha,205.54
asian,205.36
disco,205.29
scrub,204.88
rajma,204.75
quorn,203.24
yacht,203.24
witch,202.84
urban,202.43
young,202.06
welsh,201.89
flour,201.63
heeng,201.52
vital,201.43
syrup,201.37
after,199.8
okara,199.75
below,198.91
dutch,198.91
nestl,197.8
lunch,197.8
pepsi,197.36
licor,196.82
knead,196.23
gusto,195.39
amino,195.07
stuff,193.7
recao,192.98
lucky,192.65
owner,192.46
nadru,190.56
amber,188.93
uncle,188.51
acorn,188.48
throw,188.31
micro,187.6
angel,186.92
schwa,186.59
nashi,186.32
ocean,186.21
cutup,184.98
fizzy,182.92
lemon,182.51
roqaq,182.42
gummy,182.26
ivory,181.85
devil,180.76
pizza,180.14
apron,180.04
onion,179.97
khoya,177.79
vodka,175.62
other,173.94
added,173.76
jimmy,172.75
avoid,172.65
koshi,171.44
upper,171.36
bundi,171.16
fuzzy,170.53
yucca,170.47
quaff,168.81
konbu,168.3
kefir,167.79
aging,166.47
amour,163.57
kucai,161.01
light,160.48
right,159.46
myoga,158.88
jiffy,156.81
kebab,156.73
icing,153.84
dukka,153.84
negro,151.26
known,151.2
equal,151.12
gyoza,150.82
achar,149.94
kombu,147.95
ajvar,147.06
kokum,143.98
alpha,142.7
omega,142.48
gumbo,136.9
assam,131.08
khubz,125.33
extra,124.58
offal,119.98
jumbo,115.0
elbow,105.25
kudzu,100.13
awful,96.47
aspic,87.5
